order_item_id,order_id,product_id,user_id,quantity,item_price,item_total
I00000162,O00000066,P000100,U003806,3,53.39,160.17
I00000163,O00000066,P000650,U003806,1,235.46,235.46
I00000164,O00000067,P001996,U001740,1,69.46,69.46
I00000165,O00000067,P000748,U001740,1,128.37,128.37
I00000166,O00000068,P000967,U005875,1,106.52,106.52
I00000167,O00000068,P000380,U005875,2,148.33,296.66
I00000168,O00000069,P001512,U007490,1,51.45,51.45
I00000169,O00000069,P001219,U007490,2,28.04,56.08
I00000170,O00000069,P001499,U007490,1,598.63,598.63
I00000171,O00000069,P000519,U007490,1,769.71,769.71
I00000172,O00000069,P002000,U007490,2,64.11,128.22
I00000173,O00000069,P000225,U007490,2,527.87,1055.74
I00000174,O00000070,P000887,U004383,2,670.63,1341.26
I00000175,O00000070,P001577,U004383,1,11.62,11.62
I00000176,O00000070,P000936,U004383,3,236.97,710.91
I00000177,O00000070,P001888,U004383,1,16.14,16.14
I00000178,O00000070,P000926,U004383,2,19.4,38.8
I00000179,O00000071,P000431,U008449,3,27.08,81.24
I00000180,O00000071,P001694,U008449,2,34.17,68.34
I00000181,O00000071,P001253,U008449,1,42.45,42.45
I00000182,O00000071,P001509,U008449,1,30.09,30.09
I00000183,O00000072,P001601,U007276,3,93.07,279.21
I00000184,O00000072,P001060,U007276,1,307.27,307.27
I00000185,O00000073,P001535,U000383,1,48.09,48.09
I00000186,O00000074,P001309,U001053,1,52.93,52.93
I00000187,O00000075,P000684,U003631,1,26.34,26.34
I00000188,O00000075,P000474,U003631,1,283.17,283.17
I00000189,O00000075,P000760,U003631,3,20.41,61.23
I00000190,O00000075,P000784,U003631,1,49.7,49.7
I00000191,O00000076,P000455,U006851,3,65.06,195.18
I00000192,O00000076,P001722,U006851,1,80.1,80.1
I00000193,O00000076,P000036,U006851,1,81.88,81.88
I00000194,O00000077,P001500,U005127,2,746.51,1493.02
I00000195,O00000077,P001467,U005127,1,342.98,342.98
I00000196,O00000078,P000262,U005863,1,186.4,186.4
I00000197,O00000079,P001966,U008184,1,77.21,77.21
I00000198,O00000079,P000238,U008184,3,168.05,504.15
I00000199,O00000079,P000854,U008184,1,685.59,685.59
I00000200,O00000080,P001870,U007964,1,383.26,383.26
I00000201,O00000081,P000206,U000280,2,202.11,404.22
I00000202,O00000081,P001140,U000280,3,124.59,373.77
I00000203,O00000082,P001195,U002630,1,16.88,16.88
I00000204,O00000082,P001830,U002630,1,1127.47,1127.47
I00000205,O00000082,P001379,U002630,1,61.86,61.86
I00000206,O00000083,P000263,U004873,2,12.76,25.52
I00000207,O00000084,P000639,U004193,1,64.23,64.23
I00000208,O00000084,P001735,U004193,1,13.04,13.04
I00000209,O00000085,P000954,U009453,1,661.52,661.52
I00000210,O00000086,P001871,U004906,2,118.36,236.72
I00000211,O00000086,P000290,U004906,1,44.33,44.33
I00000212,O00000087,P000864,U002432,1,168.44,168.44
I00000213,O00000088,P001667,U001613,2,38.11,76.22
I00000214,O00000088,P000396,U001613,1,6.95,6.95
I00000215,O00000089,P001968,U004756,2,375.68,751.36
I00000216,O00000090,P000534,U003655,2,19.24,38.48
I00000217,O00000090,P000960,U003655,2,9.31,18.62
I00000218,O00000091,P000335,U006570,1,93.49,93.49
I00000219,O00000091,P001261,U006570,1,1411.81,1411.81
I00000220,O00000091,P000206,U006570,1,202.11,202.11
I00000221,O00000092,P000425,U001781,2,126.93,253.86
I00000222,O00000093,P001318,U002932,1,66.97,66.97
I00000223,O00000093,P001443,U002932,1,28.43,28.43
I00000224,O00000094,P000635,U008738,1,14.99,14.99
I00000225,O00000095,P000732,U002227,1,52.87,52.87
I00000226,O00000096,P000231,U002173,1,178.96,178.96
I00000227,O00000097,P001546,U002710,1,100.3,100.3
I00000228,O00000098,P001014,U001491,1,10.78,10.78
I00000229,O00000098,P000330,U001491,1,37.03,37.03
I00000230,O00000098,P000354,U001491,1,1387.39,1387.39
I00000231,O00000099,P001692,U006836,2,108.67,217.34
I00000232,O00000099,P001778,U006836,2,10.29,20.58
I00000233,O00000099,P000620,U006836,2,9.49,18.98
I00000234,O00000100,P000467,U007744,1,712.19,712.19
I00000235,O00000100,P000054,U007744,2,435.87,871.74
I00000236,O00000101,P001524,U009367,1,29.67,29.67
I00000237,O00000101,P000520,U009367,1,161.29,161.29
I00000238,O00000101,P000905,U009367,1,32.73,32.73
I00000239,O00000101,P000224,U009367,1,88.96,88.96
I00000240,O00000102,P001314,U000795,3,81.49,244.47
I00000241,O00000102,P001359,U000795,3,100.06,300.18
I00000242,O00000103,P000075,U008095,1,143.79,143.79
I00000243,O00000103,P000786,U008095,1,13.24,13.24
I00000244,O00000103,P000775,U008095,1,69.1,69.1
I00000245,O00000104,P000373,U007392,1,390.56,390.56
I00000246,O00000104,P000091,U007392,1,69.07,69.07
I00000247,O00000105,P001748,U008882,1,56.34,56.34
I00000248,O00000105,P001290,U008882,1,108.57,108.57
I00000249,O00000106,P001284,U008953,1,153.71,153.71
I00000250,O00000107,P001816,U005095,1,91.42,91.42
I00000251,O00000108,P000055,U003853,1,949.73,949.73
I00000252,O00000108,P000877,U003853,1,24.09,24.09
I00000253,O00000109,P001111,U001398,1,103.67,103.67
I00000254,O00000110,P001720,U005833,2,6.69,13.38
I00000255,O00000110,P000814,U005833,1,680.15,680.15
I00000256,O00000110,P001142,U005833,1,114.57,114.57
I00000257,O00000111,P000345,U006403,1,62.17,62.17
I00000258,O00000111,P001436,U006403,1,63.88,63.88
I00000259,O00000112,P001150,U002203,1,98.79,98.79
I00000260,O00000112,P001611,U002203,1,1028.88,1028.88
I00000261,O00000112,P001280,U002203,1,98.92,98.92
I00000262,O00000113,P000662,U001974,1,71.4,71.4
I00000263,O00000114,P000377,U002688,1,95.77,95.77
I00000264,O00000114,P001080,U002688,1,18.31,18.31
I00000265,O00000115,P000639,U007745,2,64.23,128.46
I00000266,O00000115,P000545,U007745,1,55.49,55.49
I00000267,O00000116,P000510,U000180,1,105.34,105.34
I00000268,O00000116,P001551,U000180,2,11.78,23.56
I00000269,O00000116,P001247,U000180,2,67.54,135.08
I00000270,O00000117,P001564,U001913,1,10.42,10.42
I00000271,O00000117,P001039,U001913,2,5.98,11.96
I00000272,O00000118,P000352,U007481,1,112.71,112.71
I00000273,O00000118,P000060,U007481,1,81.57,81.57
I00000274,O00000118,P001769,U007481,2,18.76,37.52
I00000275,O00000119,P001650,U009061,1,71.07,71.07
I00000276,O00000120,P001449,U000716,1,354.29,354.29
I00000277,O00000121,P001090,U001240,1,74.93,74.93
I00000278,O00000122,P001430,U005566,1,41.44,41.44
I00000279,O00000122,P001038,U005566,1,22.47,22.47
I00000280,O00000122,P000451,U005566,1,228.61,228.61
I00000281,O00000123,P001633,U005052,1,132.13,132.13
I00000282,O00000124,P001355,U006150,2,62.74,125.48
I00000283,O00000124,P001051,U006150,3,472.13,1416.39
I00000284,O00000125,P000357,U005706,1,1423.47,1423.47
I00000285,O00000126,P001838,U002931,2,331.98,663.96
I00000286,O00000126,P000059,U002931,1,176.48,176.48
I00000287,O00000127,P001626,U007738,3,30.12,90.36
I00000288,O00000127,P000454,U007738,1,231.49,231.49
I00000289,O00000128,P000429,U000975,1,39.0,39.0
I00000290,O00000129,P000417,U003622,2,218.42,436.84
I00000291,O00000129,P000826,U003622,3,26.79,80.37
I00000292,O00000129,P000952,U003622,1,70.34,70.34
I00000293,O00000130,P000373,U004647,1,390.56,390.56
I00000294,O00000131,P000542,U000130,1,36.54,36.54
I00000295,O00000132,P001032,U002510,1,183.58,183.58
I00000296,O00000133,P001254,U007445,1,71.59,71.59
I00000297,O00000134,P001586,U004675,1,9.81,9.81
I00000298,O00000134,P001869,U004675,3,8.47,25.41
I00000299,O00000135,P001418,U002302,1,3.45,3.45
I00000300,O00000135,P001986,U002302,2,65.24,130.48
I00000301,O00000135,P000865,U002302,1,158.06,158.06
I00000302,O00000135,P000113,U002302,3,22.55,67.65
I00000303,O00000136,P000482,U001440,1,62.62,62.62
I00000304,O00000136,P000003,U001440,1,265.37,265.37
I00000305,O00000137,P001716,U001427,2,96.19,192.38
I00000306,O00000138,P000537,U006921,2,64.45,128.9
I00000307,O00000138,P000929,U006921,1,69.43,69.43
I00000308,O00000138,P000304,U006921,1,120.82,120.82
I00000309,O00000138,P001020,U006921,2,917.59,1835.18
I00000310,O00000139,P000492,U002993,1,36.16,36.16
I00000311,O00000139,P000711,U002993,2,536.33,1072.66
I00000312,O00000139,P001352,U002993,2,68.39,136.78
I00000313,O00000140,P000924,U008257,1,122.6,122.6
I00000314,O00000141,P001230,U009725,1,12.46,12.46
I00000315,O00000141,P001855,U009725,1,503.43,503.43
I00000316,O00000142,P000481,U006344,1,299.45,299.45
I00000317,O00000142,P001758,U006344,1,8.07,8.07
I00000318,O00000142,P001628,U006344,1,473.62,473.62
I00000319,O00000143,P000225,U000022,1,527.87,527.87
I00000320,O00000143,P000609,U000022,1,42.5,42.5
I00000321,O00000143,P001030,U000022,2,263.8,527.6
I00000322,O00000144,P001683,U006302,1,71.52,71.52
I00000323,O00000145,P000428,U009282,2,135.76,271.52
I00000324,O00000146,P000950,U004487,1,654.76,654.76
I00000325,O00000147,P000189,U002779,2,4.19,8.38
I00000326,O00000147,P000461,U002779,1,1700.35,1700.35
I00000327,O00000147,P000948,U002779,2,21.02,42.04
I00000328,O00000147,P001111,U002779,1,103.67,103.67
I00000329,O00000148,P000679,U005318,1,496.78,496.78
I00000330,O00000148,P001145,U005318,1,178.31,178.31
I00000331,O00000149,P000188,U006981,1,12.4,12.4
I00000332,O00000149,P001839,U006981,2,180.71,361.42
I00000333,O00000150,P000744,U000668,3,88.68,266.04
I00000334,O00000151,P001080,U006960,1,18.31,18.31
I00000335,O00000151,P001491,U006960,2,153.2,306.4
I00000336,O00000152,P001827,U006228,2,125.56,251.12
I00000337,O00000152,P000628,U006228,1,612.23,612.23
I00000338,O00000152,P000032,U006228,1,265.99,265.99
I00000339,O00000153,P000615,U007261,2,93.1,186.2
I00000340,O00000154,P000906,U007064,1,26.49,26.49
I00000341,O00000155,P001015,U000476,2,28.49,56.98
I00000342,O00000155,P001424,U000476,1,85.29,85.29
I00000343,O00000156,P000450,U004571,1,15.69,15.69
I00000344,O00000156,P000568,U004571,1,16.79,16.79
I00000345,O00000157,P000961,U007924,1,698.45,698.45
I00000346,O00000158,P000924,U004476,1,122.6,122.6
I00000347,O00000158,P000728,U004476,1,34.0,34.0
I00000348,O00000158,P000473,U004476,1,22.53,22.53
I00000349,O00000158,P001581,U004476,1,225.32,225.32
I00000350,O00000159,P000392,U004306,1,387.23,387.23
I00000351,O00000160,P000510,U006265,1,105.34,105.34
I00000352,O00000161,P001920,U001885,2,175.83,351.66
I00000353,O00000162,P000961,U003794,3,698.45,2095.35
I00000354,O00000162,P001900,U003794,1,1351.78,1351.78
I00000355,O00000162,P000010,U003794,1,235.11,235.11
I00000356,O00000162,P000820,U003794,1,974.16,974.16
I00000357,O00000162,P000087,U003794,1,339.43,339.43
I00000358,O00000163,P000963,U004111,1,40.92,40.92
I00000359,O00000163,P000127,U004111,1,255.94,255.94
I00000360,O00000163,P000335,U004111,1,93.49,93.49
I00000361,O00000163,P000980,U004111,1,53.19,53.19
I00000362,O00000164,P001492,U006977,2,119.02,238.04
I00000363,O00000164,P001482,U006977,3,37.9,113.7
I00000364,O00000164,P001193,U006977,1,26.76,26.76
I00000365,O00000164,P000042,U006977,1,36.95,36.95
I00000366,O00000165,P001813,U004253,3,54.41,163.23
I00000367,O00000165,P001407,U004253,1,218.95,218.95
I00000368,O00000165,P000111,U004253,1,55.21,55.21
I00000369,O00000165,P001499,U004253,1,598.63,598.63
I00000370,O00000165,P001192,U004253,1,73.31,73.31
I00000371,O00000166,P000876,U003599,2,20.23,40.46
I00000372,O00000166,P000707,U003599,1,26.0,26.0
I00000373,O00000166,P001457,U003599,2,58.83,117.66
I00000374,O00000167,P001725,U008017,1,96.97,96.97
I00000375,O00000168,P001928,U005863,1,31.95,31.95
I00000376,O00000168,P000522,U005863,1,17.96,17.96
I00000377,O00000169,P001084,U001205,1,111.61,111.61
I00000378,O00000169,P000040,U001205,1,350.41,350.41
I00000379,O00000170,P000743,U003435,3,270.47,811.41
I00000380,O00000171,P000756,U001678,1,31.72,31.72
I00000381,O00000172,P000194,U009680,1,59.65,59.65
I00000382,O00000172,P000598,U009680,1,4.68,4.68
I00000383,O00000172,P000822,U009680,1,36.08,36.08
I00000384,O00000172,P001323,U009680,1,50.42,50.42
I00000385,O00000173,P001801,U003834,1,365.24,365.24
I00000386,O00000173,P000743,U003834,2,270.47,540.94
I00000387,O00000174,P001922,U007238,2,201.36,402.72
I00000388,O00000174,P001764,U007238,1,30.77,30.77
I00000389,O00000174,P001551,U007238,1,11.78,11.78
I00000390,O00000174,P001499,U007238,1,598.63,598.63
I00000391,O00000175,P000689,U002754,1,18.5,18.5
I00000392,O00000175,P001581,U002754,3,225.32,675.96
I00000393,O00000176,P001447,U009063,2,26.07,52.14
I00000394,O00000176,P000123,U009063,2,244.44,488.88
I00000395,O00000176,P001563,U009063,1,15.87,15.87
I00000396,O00000176,P000797,U009063,1,9.98,9.98
I00000397,O00000177,P000540,U002797,2,337.8,675.6
I00000398,O00000178,P000337,U006485,1,23.28,23.28
I00000399,O00000178,P001525,U006485,1,134.22,134.22
I00000400,O00000178,P000572,U006485,1,58.41,58.41
I00000401,O00000179,P001268,U000987,1,50.17,50.17
I00000402,O00000179,P001199,U000987,2,5.53,11.06
I00000403,O00000179,P001513,U000987,1,720.05,720.05
I00000404,O00000180,P001542,U008002,1,355.14,355.14
I00000405,O00000180,P001842,U008002,2,29.1,58.2
I00000406,O00000180,P000787,U008002,2,62.47,124.94
I00000407,O00000180,P000348,U008002,3,47.14,141.42
I00000408,O00000180,P001378,U008002,1,122.6,122.6
I00000409,O00000181,P000994,U006833,1,27.46,27.46
I00000410,O00000181,P001983,U006833,1,11.12,11.12
I00000411,O00000182,P000562,U009225,2,23.79,47.58
I00000412,O00000182,P000014,U009225,2,99.56,199.12
I00000413,O00000183,P001896,U006690,1,278.74,278.74
I00000414,O00000183,P001867,U006690,1,93.84,93.84
I00000415,O00000184,P000808,U001541,1,125.02,125.02
I00000416,O00000185,P000388,U004717,1,252.09,252.09
I00000417,O00000185,P001023,U004717,1,93.43,93.43
I00000418,O00000185,P000135,U004717,1,49.41,49.41
I00000419,O00000186,P000624,U004708,1,29.41,29.41
I00000420,O00000187,P000085,U005772,1,462.62,462.62
I00000421,O00000187,P000390,U005772,3,24.1,72.3
I00000422,O00000188,P001832,U005931,1,52.77,52.77
I00000423,O00000189,P000540,U001604,3,337.8,1013.4
I00000424,O00000189,P001610,U001604,1,77.46,77.46
I00000425,O00000189,P000191,U001604,1,47.14,47.14
I00000426,O00000189,P001075,U001604,1,37.33,37.33
I00000427,O00000189,P001293,U001604,1,9.53,9.53
I00000428,O00000190,P001733,U007885,2,166.64,333.28
I00000429,O00000191,P001793,U003178,1,896.38,896.38
I00000430,O00000191,P000829,U003178,1,111.06,111.06
I00000431,O00000191,P000540,U003178,1,337.8,337.8
I00000432,O00000192,P000233,U009179,1,173.94,173.94
I00000433,O00000193,P000745,U006708,1,1248.13,1248.13
I00000434,O00000194,P001954,U006411,1,26.54,26.54
I00000435,O00000195,P001058,U001418,1,98.25,98.25
I00000436,O00000195,P001873,U001418,1,413.11,413.11
I00000437,O00000195,P000649,U001418,2,27.91,55.82
I00000438,O00000196,P001642,U008992,1,5.55,5.55
I00000439,O00000196,P000485,U008992,3,9.97,29.91
I00000440,O00000197,P001954,U002348,1,26.54,26.54
I00000441,O00000198,P001354,U005404,2,96.63,193.26
I00000442,O00000198,P000130,U005404,1,152.63,152.63
I00000443,O00000198,P000495,U005404,3,21.2,63.6
I00000444,O00000199,P001853,U004163,1,351.45,351.45
I00000445,O00000199,P001452,U004163,1,505.82,505.82
I00000446,O00000199,P001157,U004163,2,20.26,40.52
I00000447,O00000200,P001186,U007622,1,26.74,26.74
I00000448,O00000201,P001837,U003830,1,72.87,72.87
I00000449,O00000202,P001018,U003415,1,80.56,80.56
I00000450,O00000203,P001441,U007282,1,54.22,54.22
I00000451,O00000203,P001454,U007282,1,178.76,178.76
I00000452,O00000204,P001113,U004810,2,1663.12,3326.24
I00000453,O00000204,P000314,U004810,1,79.29,79.29
I00000454,O00000204,P001195,U004810,1,16.88,16.88
I00000455,O00000204,P000864,U004810,1,168.44,168.44
I00000456,O00000205,P000042,U006253,1,36.95,36.95
I00000457,O00000205,P000378,U006253,1,9.11,9.11
I00000458,O00000205,P000062,U006253,1,52.54,52.54
I00000459,O00000206,P000227,U008405,1,238.61,238.61
I00000460,O00000206,P001248,U008405,2,1233.14,2466.28
I00000461,O00000206,P001641,U008405,2,705.88,1411.76
I00000462,O00000207,P000222,U006406,3,21.85,65.55
I00000463,O00000207,P001927,U006406,1,32.11,32.11
I00000464,O00000207,P000466,U006406,1,76.15,76.15
I00000465,O00000208,P000862,U008591,1,119.52,119.52
I00000466,O00000209,P000942,U001530,2,157.0,314.0
I00000467,O00000209,P000359,U001530,1,31.35,31.35
I00000468,O00000210,P001026,U009826,1,168.25,168.25
I00000469,O00000210,P001812,U009826,1,713.74,713.74
I00000470,O00000211,P001738,U006935,1,52.26,52.26
I00000471,O00000211,P000195,U006935,1,72.69,72.69
I00000472,O00000212,P001332,U001613,1,27.08,27.08
I00000473,O00000212,P001232,U001613,1,35.41,35.41
I00000474,O00000212,P001028,U001613,1,150.45,150.45
I00000475,O00000212,P001898,U001613,1,131.29,131.29
I00000476,O00000212,P001787,U001613,1,160.19,160.19
I00000477,O00000213,P001847,U008807,1,1025.31,1025.31
I00000478,O00000213,P000249,U008807,2,64.76,129.52
I00000479,O00000213,P000411,U008807,1,50.96,50.96
I00000480,O00000214,P000313,U006699,1,70.39,70.39
I00000481,O00000214,P000106,U006699,1,86.59,86.59
I00000482,O00000215,P000316,U008741,1,72.21,72.21
I00000483,O00000215,P001406,U008741,2,10.45,20.9
I00000484,O00000215,P000605,U008741,1,83.17,83.17
I00000485,O00000215,P000027,U008741,2,61.59,123.18
I00000486,O00000215,P000437,U008741,1,130.95,130.95
I00000487,O00000216,P000610,U008467,1,101.29,101.29
I00000488,O00000216,P000904,U008467,2,47.08,94.16
I00000489,O00000217,P001448,U000008,1,1226.78,1226.78
I00000490,O00000217,P001730,U000008,1,232.25,232.25
I00000491,O00000218,P001989,U000516,1,61.57,61.57
I00000492,O00000218,P001648,U000516,1,124.31,124.31
I00000493,O00000218,P000483,U000516,2,2.83,5.66
I00000494,O00000219,P001393,U005698,1,314.95,314.95
I00000495,O00000219,P000754,U005698,1,1511.11,1511.11
I00000496,O00000220,P001616,U008072,1,167.4,167.4
