order_id,user_id,order_date,order_status,total_amount
O00000137,U001427,2024-01-14T15:42:32.407789,processing,192.38
O00000138,U006921,2024-02-19T08:03:47.923743,cancelled,2154.33
O00000139,U002993,2025-01-11T11:27:26.507808,cancelled,1245.6
O00000140,U008257,2024-10-01T22:36:05.189053,cancelled,122.6
O00000141,U009725,2025-08-23T20:54:22.804713,processing,515.89
O00000142,U006344,2024-10-26T11:57:46.017726,cancelled,781.14
O00000143,U000022,2024-09-26T05:12:38.790252,completed,1097.97
O00000144,U006302,2024-01-20T03:08:16.917912,shipped,71.52
O00000145,U009282,2024-01-23T13:20:49.368213,shipped,271.52
O00000146,U004487,2024-12-16T10:45:18.613487,processing,654.76
O00000147,U002779,2024-07-22T18:51:23.876499,shipped,1854.44
O00000148,U005318,2025-10-04T12:24:51.517612,returned,675.09
O00000149,U006981,2025-06-06T02:24:19.314449,completed,373.82
O00000150,U000668,2024-10-06T06:51:42.875460,cancelled,266.04
O00000151,U006960,2025-01-27T10:09:36.512884,processing,324.71
O00000152,U006228,2024-02-26T06:41:04.140492,returned,1129.34
O00000153,U007261,2025-11-12T10:19:18.301029,shipped,186.2
O00000154,U007064,2025-07-06T18:48:05.026992,returned,26.49
O00000155,U000476,2025-02-25T08:23:55.141299,completed,142.27
O00000156,U004571,2024-07-08T17:17:05.311796,returned,32.48
O00000157,U007924,2025-05-23T08:51:50.228831,returned,698.45
O00000158,U004476,2025-10-25T14:07:57.652615,shipped,404.45
O00000159,U004306,2024-04-29T17:41:32.861189,shipped,387.23
O00000160,U006265,2024-04-18T06:28:43.675708,shipped,105.34
O00000161,U001885,2025-01-14T02:24:04.527330,processing,351.66
O00000162,U003794,2025-10-16T06:33:38.458007,completed,4995.83
O00000163,U004111,2024-03-05T12:12:11.387921,shipped,443.54
O00000164,U006977,2025-02-19T00:05:44.804192,returned,415.45
O00000165,U004253,2025-05-20T10:23:25.924977,cancelled,1109.33
O00000166,U003599,2024-08-30T07:55:27.386072,completed,184.12
O00000167,U008017,2024-11-26T03:59:17.276753,cancelled,96.97
O00000168,U005863,2024-11-27T13:40:23.549677,returned,49.91
O00000169,U001205,2025-01-01T16:06:01.864817,cancelled,462.02
O00000170,U003435,2025-03-25T16:57:46.064286,returned,811.41
O00000171,U001678,2024-02-03T11:25:21.289237,returned,31.72
O00000172,U009680,2025-01-30T16:25:47.074161,cancelled,150.83
O00000173,U003834,2024-11-30T19:38:25.876851,returned,906.18
O00000174,U007238,2025-07-04T11:36:47.946142,cancelled,1043.9
O00000175,U002754,2024-03-12T12:29:05.206064,processing,694.46
O00000176,U009063,2024-01-23T00:47:25.781580,completed,566.87
O00000177,U002797,2024-01-18T21:25:02.047575,completed,675.6
O00000178,U006485,2025-02-14T21:03:52.685555,returned,215.91
O00000179,U000987,2025-06-06T18:53:08.016329,shipped,781.28
O00000180,U008002,2024-07-28T09:42:37.538184,returned,802.3
O00000181,U006833,2024-06-19T01:56:31.373731,completed,38.58
O00000182,U009225,2024-02-11T07:01:39.948315,processing,246.7
O00000183,U006690,2024-09-18T06:38:11.099963,cancelled,372.58
O00000184,U001541,2024-02-19T16:26:39.497201,shipped,125.02
O00000185,U004717,2025-02-22T14:49:09.887674,cancelled,394.93
O00000186,U004708,2025-09-14T07:45:42.311675,completed,29.41
O00000187,U005772,2024-11-02T16:50:08.643813,processing,534.92
O00000188,U005931,2024-10-31T21:12:12.666763,returned,52.77
O00000189,U001604,2025-01-14T13:17:03.543675,processing,1184.86
O00000190,U007885,2024-04-28T11:06:24.820649,completed,333.28
O00000191,U003178,2024-03-07T15:48:49.209247,cancelled,1345.24
O00000192,U009179,2024-07-15T20:29:49.490699,shipped,173.94
O00000193,U006708,2024-11-25T02:18:55.690334,processing,1248.13
O00000194,U006411,2025-08-02T13:02:52.165999,returned,26.54
O00000195,U001418,2024-06-11T01:39:22.570775,shipped,567.18
O00000196,U008992,2025-04-27T10:05:33.806571,returned,35.46
O00000197,U002348,2024-09-26T19:01:30.040816,shipped,26.54
O00000198,U005404,2025-07-07T17:14:24.313252,cancelled,409.49
O00000199,U004163,2024-03-01T05:40:35.821381,processing,897.79
O00000200,U007622,2025-04-09T04:47:34.122239,returned,26.74
O00000201,U003830,2025-02-05T07:56:31.857096,cancelled,72.87
O00000202,U003415,2024-10-12T22:49:38.308901,cancelled,80.56
O00000203,U007282,2024-10-05T14:45:09.753855,processing,232.98
O00000204,U004810,2025-05-11T07:07:02.676475,completed,3590.85
O00000205,U006253,2024-10-21T09:55:15.996590,shipped,98.6
O00000206,U008405,2024-11-21T01:44:30.657890,processing,4116.65
O00000207,U006406,2024-03-13T00:52:11.090716,shipped,173.81
O00000208,U008591,2024-09-01T08:23:10.544898,shipped,119.52
O00000209,U001530,2025-08-28T23:34:00.054556,completed,345.35
O00000210,U009826,2024-11-18T06:29:19.876357,processing,881.99
O00000211,U006935,2025-10-24T15:19:59.322880,processing,124.95
O00000212,U001613,2025-10-23T01:27:57.896543,returned,504.42
O00000213,U008807,2024-11-10T05:29:11.524973,returned,1205.79
O00000214,U006699,2025-01-19T10:28:14.776089,completed,156.98
O00000215,U008741,2024-04-07T01:54:57.230840,shipped,430.41
O00000216,U008467,2024-03-23T19:57:57.345818,processing,195.45
O00000217,U000008,2024-12-30T20:16:37.195770,returned,1459.03
O00000218,U000516,2025-07-01T09:45:16.185449,cancelled,191.54
O00000219,U005698,2025-10-15T16:31:30.670581,processing,1826.06
O00000220,U008072,2024-11-28T01:25:41.438159,returned,5220.21
O00000221,U003022,2025-01-09T20:02:41.115625,returned,1221.05
O00000222,U008552,2024-08-11T14:58:40.263606,completed,119.3
O00000223,U008192,2024-08-03T01:38:57.007488,completed,151.5
O00000224,U006811,2025-11-09T03:05:36.297999,completed,160.9
O00000225,U007753,2024-02-28T05:02:17.956970,completed,20.93
O00000226,U007095,2025-04-07T09:43:47.540350,returned,428.1
O00000227,U002657,2024-02-02T17:11:34.227801,cancelled,119.12
O00000228,U004618,2024-04-25T09:38:32.133515,shipped,132.71
O00000229,U006051,2025-09-28T17:05:31.553800,processing,96.44
O00000230,U003349,2024-06-17T05:45:15.131192,shipped,73.31
O00000231,U006547,2025-04-27T07:05:27.772856,returned,369.79
O00000232,U003029,2024-11-18T22:51:17.004174,processing,120.02
O00000233,U009613,2025-09-14T01:57:57.439020,cancelled,370.71
O00000234,U008714,2024-12-22T03:21:09.469972,returned,122.01
O00000235,U008662,2024-12-29T00:52:39.942264,returned,38.82
O00000236,U000687,2024-03-19T13:36:09.745666,processing,5.35
O00000237,U001094,2024-12-14T18:24:54.988580,cancelled,923.63
O00000238,U009131,2024-03-01T00:28:55.388572,completed,17.65
O00000239,U007463,2025-10-10T06:34:49.340977,completed,74.06
O00000240,U005718,2024-05-31T13:33:38.381596,completed,1145.95
O00000241,U000462,2025-09-01T01:33:51.177241,processing,226.31
O00000242,U002722,2024-04-20T09:31:55.115983,completed,446.69
O00000243,U004073,2024-05-26T06:32:52.162739,processing,62.47
O00000244,U009876,2025-02-26T16:05:54.896086,processing,183.45
O00000245,U003047,2025-11-14T03:22:47.724560,processing,92.24
O00000246,U004293,2024-05-18T17:11:20.747873,shipped,89.14
O00000247,U002631,2024-03-09T18:55:55.012291,processing,533.01
O00000248,U007067,2024-12-01T17:11:52.066476,processing,350.41
O00000249,U002832,2025-06-21T14:34:28.933948,completed,346.41
O00000250,U004102,2025-07-11T05:17:39.487605,cancelled,320.01
O00000251,U008264,2025-11-02T06:27:11.744208,cancelled,1766.22
O00000252,U003348,2024-08-25T04:23:39.681734,processing,1073.36
O00000253,U007023,2024-10-15T08:56:19.568107,cancelled,725.28
O00000254,U003587,2024-09-17T06:59:27.298982,returned,266.98
O00000255,U003862,2024-05-22T12:28:39.561345,shipped,1042.0
O00000256,U006956,2024-06-24T09:55:24.882341,returned,360.78
O00000257,U002795,2025-04-28T04:17:54.496151,cancelled,396.9
O00000258,U007831,2025-01-25T22:52:15.042976,processing,759.4
O00000259,U004075,2025-09-26T08:09:09.263458,returned,134.2
O00000260,U003912,2024-06-20T01:10:06.757346,processing,83.16
O00000261,U004977,2025-04-25T16:35:37.006186,completed,1144.05
O00000262,U009315,2024-05-20T10:32:03.780732,completed,538.63
O00000263,U009534,2024-10-12T17:40:35.371888,completed,20.77
O00000264,U002837,2024-11-06T06:18:56.798876,returned,1988.26
O00000265,U007023,2024-04-25T16:31:19.603179,shipped,43.46
O00000266,U008502,2024-03-10T16:51:05.690910,completed,272.57
O00000267,U005153,2024-05-18T05:17:19.348324,cancelled,509.86
O00000268,U005394,2025-08-08T19:26:22.924841,returned,82.0
O00000269,U007667,2024-09-27T08:51:53.315951,shipped,205.38
O00000270,U003564,2024-02-12T06:57:55.927523,returned,846.61
O00000271,U003973,2024-06-02T05:34:54.842962,shipped,357.98
O00000272,U005269,2024-05-04T17:33:24.226993,completed,3930.26
O00000273,U007453,2025-03-04T11:21:54.409457,completed,163.08
O00000274,U003564,2024-05-26T21:25:33.666370,shipped,465.6
O00000275,U006699,2025-02-15T08:45:26.898004,returned,79.34
O00000276,U002287,2024-12-03T18:58:17.341790,cancelled,920.84
O00000277,U005096,2024-04-27T23:42:33.172616,shipped,782.18
O00000278,U001355,2025-02-08T11:16:57.434534,cancelled,2295.05
O00000279,U007727,2024-01-01T11:30:33.797627,returned,2210.19
O00000280,U003514,2025-09-28T04:56:19.759000,returned,21.18
O00000281,U000988,2024-06-19T14:32:04.635734,returned,1032.53
O00000282,U000510,2025-03-30T09:02:10.384661,returned,2094.36
O00000283,U005554,2025-10-14T20:06:42.088161,shipped,390.19
O00000284,U004677,2025-08-31T05:39:54.962571,cancelled,2650.12
O00000285,U000610,2025-01-23T03:08:27.581446,completed,258.51
O00000286,U008461,2025-01-09T21:37:15.203316,cancelled,1831.44
O00000287,U007587,2024-06-11T22:58:04.856345,completed,67.27
O00000288,U003951,2024-05-14T05:08:00.353858,cancelled,215.49
O00000289,U009034,2024-02-15T06:42:03.043626,returned,3917.14
O00000290,U002368,2024-02-24T05:23:57.163118,returned,199.8
O00000291,U007858,2024-02-03T20:54:23.936079,shipped,778.39
O00000292,U007310,2025-02-18T10:35:31.322790,processing,581.24
O00000293,U001684,2024-10-17T10:10:52.434241,cancelled,252.47
O00000294,U003889,2024-04-16T08:03:28.625664,cancelled,827.12
O00000295,U007518,2025-09-01T13:59:40.941656,cancelled,2337.85
O00000296,U002847,2025-04-04T21:00:50.021567,processing,200.12
O00000297,U006600,2025-05-27T19:00:24.969888,returned,1615.94
O00000298,U009474,2024-02-28T07:20:10.886509,completed,346.68
O00000299,U007773,2025-02-01T00:23:58.571868,shipped,101.71
O00000300,U001813,2025-04-15T23:27:29.482907,completed,23.54
O00000301,U002528,2025-08-31T22:26:07.857547,shipped,1522.12
O00000302,U003744,2025-10-08T21:51:41.346843,cancelled,394.71
O00000303,U008037,2025-01-13T20:19:13.966413,returned,173.9
O00000304,U002381,2024-03-14T23:07:55.164854,cancelled,445.99
O00000305,U001432,2025-10-05T08:48:29.964495,returned,292.26
O00000306,U002575,2025-06-24T10:05:15.231238,shipped,756.87
O00000307,U000083,2025-06-02T21:36:23.060003,shipped,2204.17
O00000308,U006604,2024-10-03T05:35:54.061157,completed,3.57
O00000309,U005284,2024-11-29T09:22:23.141336,processing,837.81
O00000310,U003419,2024-07-24T16:29:18.877618,returned,242.47
O00000311,U003527,2025-03-10T20:59:51.111467,returned,1175.69
O00000312,U003472,2024-03-16T18:58:47.120510,shipped,1113.78
O00000313,U001204,2024-07-04T06:55:05.894885,completed,313.65
O00000314,U005797,2025-02-19T10:11:14.823627,completed,54.83
O00000315,U001315,2024-08-22T05:28:13.210013,shipped,633.59
O00000316,U000494,2025-03-02T13:48:49.062649,completed,2460.43
O00000317,U003924,2025-08-05T18:32:10.733488,cancelled,42.36
O00000318,U008822,2024-11-09T14:10:49.490772,processing,180.25
O00000319,U000068,2025-08-08T18:30:15.481970,processing,366.84
O00000320,U001309,2024-05-31T06:17:45.957767,completed,438.46
O00000321,U006255,2024-05-22T03:29:56.062081,completed,160.19
O00000322,U002806,2024-10-31T16:29:35.497031,shipped,133.04
O00000323,U006255,2025-04-09T18:25:16.792391,processing,917.02
O00000324,U007727,2025-01-10T20:02:34.325192,returned,104.55
O00000325,U009808,2024-05-29T15:33:18.961576,completed,9.1
O00000326,U006017,2024-04-22T21:05:27.238155,shipped,543.39
O00000327,U006341,2024-10-04T15:23:39.002397,cancelled,113.45
O00000328,U007930,2025-01-12T00:01:34.470736,returned,45.67
O00000329,U008429,2024-10-01T23:38:56.448820,cancelled,1594.59
O00000330,U005772,2024-03-24T02:49:15.159121,completed,145.17
O00000331,U006201,2025-01-28T15:37:38.396076,returned,238.04
O00000332,U006577,2025-09-09T14:35:48.520681,completed,271.18
O00000333,U001355,2024-07-11T03:42:52.991540,cancelled,65.0
O00000334,U001482,2024-03-21T11:32:18.478262,completed,119.1
O00000335,U007872,2024-02-13T17:41:53.871575,cancelled,177.48
O00000336,U002963,2024-09-23T02:45:03.314975,cancelled,243.35
O00000337,U003950,2025-06-21T12:12:19.724351,returned,264.65
O00000338,U007476,2024-01-07T13:51:40.563450,completed,377.51
O00000339,U009267,2025-08-05T08:37:58.086145,shipped,26.76
O00000340,U004737,2025-01-02T15:57:18.702432,returned,369.28
O00000341,U009830,2024-05-02T20:46:47.163322,shipped,1539.96
O00000342,U009497,2025-04-30T02:11:30.564543,completed,1656.18
O00000343,U004252,2024-04-25T05:13:32.127810,shipped,25.58
O00000344,U005422,2024-09-28T02:43:29.591246,processing,142.17
O00000345,U003170,2024-10-15T22:45:22.972219,completed,638.51
O00000346,U004683,2025-09-04T19:22:33.197442,processing,741.03
O00000347,U007253,2024-11-19T03:10:25.425082,returned,131.88
O00000348,U004629,2024-08-14T17:18:39.588645,shipped,629.79
O00000349,U008969,2024-08-07T15:07:23.955486,returned,1242.87
O00000350,U002862,2024-12-11T05:26:31.985511,completed,73.64
O00000351,U009272,2025-06-21T02:18:23.779078,processing,121.87
O00000352,U003130,2025-02-05T03:54:37.373220,returned,237.79
O00000353,U007561,2024-10-09T02:34:42.057133,returned,373.43
O00000354,U006192,2024-01-02T21:00:49.687043,completed,97.47
O00000355,U008572,2025-06-20T06:12:16.415719,cancelled,31.43
O00000356,U000445,2025-05-19T22:37:33.823550,cancelled,1407.61
O00000357,U009579,2024-05-20T13:20:41.302382,cancelled,1315.5
O00000358,U005569,2024-10-24T09:03:50.549214,shipped,702.9
O00000359,U004576,2025-10-04T06:48:59.960758,shipped,45.07
O00000360,U007438,2024-06-21T08:25:40.012560,returned,382.77
O00000361,U007884,2024-05-28T21:31:23.214461,completed,654.1
O00000362,U004400,2025-06-06T17:42:40.285958,cancelled,1932.49
O00000363,U000296,2025-10-27T21:44:04.594728,processing,39.34
O00000364,U002058,2025-05-14T20:52:44.619037,returned,30.66
O00000365,U007974,2024-04-24T03:17:00.995773,processing,1714.38
O00000366,U007551,2024-05-11T22:24:57.358364,completed,125.92
O00000367,U008536,2025-02-08T21:08:23.557865,returned,192.22
O00000368,U006186,2025-02-18T19:25:55.164696,shipped,680.04
O00000369,U003898,2025-09-28T10:36:06.047478,returned,338.49
O00000370,U003571,2024-03-04T18:29:11.879254,processing,3716.4
O00000371,U009900,2025-07-28T08:15:31.422065,completed,387.71
O00000372,U006358,2024-09-09T14:23:20.602418,shipped,58.53
O00000373,U003243,2025-08-30T21:20:12.271067,processing,1774.66
O00000374,U004922,2025-11-06T18:01:11.505564,completed,1896.22
O00000375,U005524,2025-08-11T01:52:08.926123,returned,65.31
O00000376,U006830,2024-12-02T10:22:33.021038,shipped,758.64
O00000377,U003570,2024-02-26T08:30:54.294365,processing,99.68
O00000378,U001322,2025-10-13T16:36:45.811309,cancelled,178.31
O00000379,U000566,2024-04-11T03:46:05.725585,processing,407.14
O00000380,U006382,2024-10-09T03:37:02.129568,completed,2688.09
O00000381,U000206,2024-09-15T00:36:35.767869,returned,1440.77
O00000382,U007177,2025-02-24T08:06:28.117583,cancelled,240.66
O00000383,U004297,2024-09-25T04:00:33.961485,returned,1333.52
O00000384,U007191,2024-07-11T18:27:09.827520,processing,35.56
O00000385,U003716,2024-09-17T18:14:30.055090,cancelled,369.96
O00000386,U001294,2024-05-02T23:16:04.653852,cancelled,323.14
O00000387,U005535,2025-07-11T10:57:07.742990,completed,742.73
O00000388,U002024,2024-08-21T01:00:14.172895,processing,282.68
O00000389,U006374,2024-10-14T03:14:15.049096,completed,1907.1
O00000390,U006881,2025-07-17T13:46:24.940215,completed,5.35
O00000391,U006033,2024-03-17T07:16:43.138308,returned,1145.97
O00000392,U008683,2025-02-19T05:54:55.197373,cancelled,361.37
O00000393,U009235,2024-12-09T09:01:19.976363,processing,1043.24
O00000394,U007144,2025-10-04T11:14:50.682527,processing,637.38
O00000395,U009243,2024-01-25T01:02:26.467538,processing,1508.35
O00000396,U008571,2025-07-14T22:16:05.318377,returned,1706.08
O00000397,U001195,2024-12-02T21:29:38.947690,processing,893.72
O00000398,U003287,2025-06-14T17:33:15.883847,completed,415.95
O00000399,U008513,2025-09-24T13:47:17.252333,returned,894.8
O00000400,U002183,2025-05-20T06:21:50.650438,completed,186.14
O00000401,U005516,2024-02-09T08:28:56.266895,returned,72.72
O00000402,U006071,2024-06-08T01:00:51.772375,completed,39.02
O00000403,U000965,2025-03-25T15:36:41.142378,completed,271.98
O00000404,U001743,2024-05-22T05:42:05.854872,cancelled,446.24
O00000405,U008444,2025-10-03T23:01:11.870262,processing,7.85
O00000406,U005631,2024-02-22T16:49:14.344926,returned,338.15
O00000407,U006627,2024-01-18T06:35:59.389964,shipped,167.07
O00000408,U003348,2024-09-18T23:13:46.782518,processing,610.25
O00000409,U004553,2025-04-23T12:43:27.117676,processing,747.66
O00000410,U002684,2024-05-15T21:23:42.755250,cancelled,1842.85
O00000411,U004928,2025-10-10T17:53:20.855628,processing,108.26
O00000412,U007274,2024-11-26T23:01:05.548023,completed,2799.7
O00000413,U002090,2025-03-25T14:50:35.435719,returned,100.66
O00000414,U000267,2025-10-23T13:44:10.453275,cancelled,120.4
O00000415,U006705,2024-12-30T13:41:48.415715,shipped,1993.95
O00000416,U005686,2024-04-08T10:07:56.438256,returned,831.31
O00000417,U004032,2025-06-04T13:20:16.889972,cancelled,1649.19
O00000418,U003487,2025-09-06T02:25:49.109039,completed,2660.31
O00000419,U003451,2025-08-10T17:03:14.715204,completed,1612.52
O00000420,U009528,2024-05-02T22:30:30.001504,cancelled,260.59
O00000421,U004228,2025-06-09T11:25:02.905810,completed,149.76
O00000422,U005524,2025-01-22T01:53:37.950685,completed,279.09
O00000423,U001646,2025-10-23T23:42:26.425387,shipped,4528.73
O00000424,U003529,2025-08-21T09:06:22.721845,returned,2604.78
O00000425,U005354,2025-10-23T21:33:51.781336,completed,891.49
